102 / 14-05-062-11 W5 / 2|ACCEL HOLDINGS CARSONN 15-5-62-11   |15-05-062-11W5M|CR-OIL SUSP|54.33848|-115.611989|company|Carson Creek|comment|Alberta
100 / 15-05-062-11 W5 / 0|ACCEL HOLDINGS CARSONN 15-5-62-11   |15-05-062-11W5M|ABDWHP|54.33848|-115.611989|company|Carson Creek|comment|Alberta
100 / 16-01-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-1-62-12   |16-01-062-12W5M|CR-OIL PUMP|54.339602|-115.654713|company|Carson Creek|comment|Alberta
100 / 16-01-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-1-62-12   |16-01-062-12W5M|COMM|54.339602|-115.654713|company|Carson Creek|comment|Alberta
100 / 16-10-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-10-62-12  |16-10-062-12W5M|CR-OIL ABZONE|54.353629|-115.70424|company|Carson Creek|comment|Alberta
100 / 16-10-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-10-62-12  |16-10-062-12W5M|WATER INJ|54.353629|-115.70424|company|Carson Creek|comment|Alberta
100 / 16-11-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-11-62-12  |16-11-062-12W5M|CR-OIL SUSP|54.354063|-115.679708|company|Carson Creek|comment|Alberta
100 / 16-11-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-11-62-12  |16-11-062-12W5M|COMM|54.354063|-115.679708|company|Carson Creek|comment|Alberta
100 / 16-12-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-12-62-12  |16-12-062-12W5M|CR-OIL ABD|54.353397|-115.655844|company|Carson Creek|comment|Alberta
100 / 16-12-062-13 W5 / 0|ACCEL HOLDINGS CARSONN 16-12-62-13  |16-12-062-13W5M|CR-OIL SUSP|54.354028|-115.80225|company|Carson Creek|comment|Alberta
100 / 16-16-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-16-62-12  |16-16-062-12W5M|CR-OIL PUMP|54.368581|-115.729474|company|Carson Creek|comment|Alberta
100 / 16-17-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-17-62-12  |16-17-062-12W5M|CR-OIL SUSP|54.368449|-115.755315|company|Carson Creek|comment|Alberta
100 / 16-17-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-17-62-12  |16-17-062-12W5M|CR-OIL PUMP|54.368449|-115.755315|company|Carson Creek|comment|Alberta
100 / 16-18-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-18-62-12  |16-18-062-12W5M|CR-OIL SUSP|54.367233|-115.78073|company|Carson Creek|comment|Alberta
100 / 16-18-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-18-62-12  |16-18-062-12W5M|WATER SUSP INJ|54.367233|-115.78073|company|Carson Creek|comment|Alberta
100 / 16-02-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-2-62-12   |16-02-062-12W5M|WATER INJ|54.339574|-115.679636|company|Carson Creek|comment|Alberta
100 / 16-02-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-2-62-12   |16-02-062-12W5M|CR-OIL SUSP|54.339574|-115.679636|company|Carson Creek|comment|Alberta
100 / 16-03-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-3-62-12   |16-03-062-12W5M|CR-OIL SUSP|54.33961|-115.704089|company|Carson Creek|comment|Alberta
100 / 16-03-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-3-62-12   |16-03-062-12W5M|CR-OIL PUMP|54.33961|-115.704089|company|Carson Creek|comment|Alberta
100 / 16-31-061-11 W5 / 0|ACCEL HOLDINGS CARSONN 16-31-61-11  |16-31-061-11W5M|CR-OIL ABZONE|54.324722|-115.629176|company|Carson Creek|comment|Alberta
100 / 16-31-061-11 W5 / 2|ACCEL HOLDINGS CARSONN 16-31-61-11  |16-31-061-11W5M|GAS ABZONE|54.324722|-115.629176|company|Carson Creek|comment|Alberta
100 / 16-31-061-11 W5 / 3|ACCEL HOLDINGS CARSONN 16-31-61-11  |16-31-061-11W5M|GAS ABD|54.324722|-115.629176|company|Carson Creek|comment|Alberta
100 / 16-34-061-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-34-61-12  |16-34-061-12W5M|WATER INJ|54.324943|-115.704248|company|Carson Creek|comment|Alberta
100 / 16-34-061-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-34-61-12  |16-34-061-12W5M|CR-OIL SUSP|54.324943|-115.704248|company|Carson Creek|comment|Alberta
100 / 16-35-061-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-35-61-12  |16-35-061-12W5M|CR-OIL ABDWHP|54.325078|-115.679967|company|Carson Creek|comment|Alberta
100 / 16-35-061-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-35-61-12  |16-35-061-12W5M|CR-OIL ABZONE|54.325078|-115.679967|company|Carson Creek|comment|Alberta
100 / 12-36-061-12 W5 / 4|ACCEL HOLDINGS CARSONN 16-35-61-12  |16-35-061-12W5M|WATER INJ|54.325078|-115.679967|company|Carson Creek|comment|Alberta
1W0 / 12-36-061-12 W5 / 3|ACCEL HOLDINGS CARSONN 16-35-61-12  |16-35-061-12W5M|ABDWHP|54.325078|-115.679967|company|Carson Creek|comment|Alberta
100 / 16-36-061-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-36-61-12  |16-36-061-12W5M|CR-OIL SUSP|54.325006|-115.654675|company|Carson Creek|comment|Alberta
100 / 16-36-061-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-36-61-12  |16-36-061-12W5M|CR-OIL SUSP|54.325006|-115.654675|company|Carson Creek|comment|Alberta
100 / 16-04-062-12 W5 / 0|ACCEL HOLDINGS CARSONN 16-4-62-12   |16-04-062-12W5M|CR-OIL PUMP|54.33987|-115.72926|company|Carson Creek|comment|Alberta
100 / 16-04-062-12 W5 / 2|ACCEL HOLDINGS CARSONN 16-4-62-12   |16-04-062-12W5M|CR-OIL SUSP|54.33987|-115.72926|company|Carson Creek|comment|Alberta
